date,rain_mm,temperature_mean_c,temperature_max_c,temperature_min_c,wind_speed_2m_mps,relative_humidity_2m_pct,source,observation_type
1981-08-27,0.02,23.34,27.79,20.25,1.0,84.94,NASA POWER Daily,gridded_meteorological_proxy
1981-08-28,10.34,23.19,27.91,19.56,1.32,85.4,NASA POWER Daily,gridded_meteorological_proxy
1981-08-29,0.47,23.19,26.96,20.5,1.29,87.48,NASA POWER Daily,gridded_meteorological_proxy
1981-08-30,0.0,23.65,27.92,20.49,1.36,85.97,NASA POWER Daily,gridded_meteorological_proxy
1981-08-31,0.0,24.08,28.44,21.32,1.39,83.79,NASA POWER Daily,gridded_meteorological_proxy
1981-09-01,0.2,23.94,28.27,21.05,1.29,83.67,NASA POWER Daily,gridded_meteorological_proxy
1981-09-02,0.82,23.61,28.14,20.28,1.37,85.85,NASA POWER Daily,gridded_meteorological_proxy
1981-09-03,4.1,23.23,27.11,20.82,1.58,85.44,NASA POWER Daily,gridded_meteorological_proxy
1981-09-04,0.86,23.31,27.49,20.2,0.91,85.05,NASA POWER Daily,gridded_meteorological_proxy
1981-09-05,0.63,23.27,26.98,20.63,0.99,85.63,NASA POWER Daily,gridded_meteorological_proxy
1981-09-06,13.54,23.49,27.54,21.05,1.36,85.1,NASA POWER Daily,gridded_meteorological_proxy
1981-09-07,10.68,22.77,26.86,20.27,1.55,85.16,NASA POWER Daily,gridded_meteorological_proxy
1981-09-08,18.54,23.25,27.83,18.97,1.03,85.51,NASA POWER Daily,gridded_meteorological_proxy
1981-09-09,1.46,23.5,26.81,21.09,1.13,86.36,NASA POWER Daily,gridded_meteorological_proxy
1981-09-10,3.83,23.31,27.13,20.85,1.11,86.7,NASA POWER Daily,gridded_meteorological_proxy
